model,arm,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,direction_accuracy_std,mcc_mean,rmse_mean,mae_mean,temporal_folds,evidence_status,model_label,balanced_accuracy_mean_pct,direction_accuracy_mean_pct
lstm_cnn,Regime-SHAP-Numeric,0.5407239461889176,0.0205930976201248,0.5363665674861651,0.0300860253187974,0.0948221190369317,23.434839103912577,18.50361153457119,4,frozen_existing_result,LSTM-CNN,54.072394618891764,53.63665674861651
lstm_cnn,Regime-SHAP-Numeric-News,0.5280963560850032,0.0228794710191479,0.5211084716533674,0.0258208214670545,0.0656697565191076,29.79423644584861,23.44488879846579,4,frozen_existing_result,LSTM-CNN,52.809635608500315,52.110847165336736
lstm_attention,Global-Numeric,0.5361400809720811,0.0297230586524714,0.5184947716011427,0.0506571806259646,0.0899939312130806,30.851809771199232,25.82810554517629,4,frozen_existing_result,LSTM-Attention,53.614008097208114,51.84947716011427
lstm_attention,Global-Numeric-News,0.5171910154285204,0.0416129117014684,0.5060469890061916,0.0446192740930147,0.0431980078042755,22.78274623067839,18.096137722524425,4,frozen_existing_result,LSTM-Attention,51.719101542852044,50.60469890061916
lstm_attention,Regime-SHAP-Numeric,0.5158573162705127,0.0204025173637313,0.5138159220312722,0.0226237283656445,0.0342314397261658,20.43959255095931,16.381185139193885,4,frozen_existing_result,LSTM-Attention,51.58573162705127,51.38159220312723
lstm_attention,Regime-SHAP-Numeric-News,0.5261953684317974,0.0145832715537106,0.5239825784209167,0.0079966758570836,0.0618086941691867,20.405030620397717,15.896851991588948,4,frozen_existing_result,LSTM-Attention,52.61953684317974,52.39825784209167
lstm_cnn_attention,Global-Numeric,0.5310916749229215,0.0436074948788292,0.5260012425064586,0.0379574780159838,0.0728191252729468,39.00594115227312,30.979875320757472,4,frozen_existing_result,LSTM-CNN-Attention,53.10916749229215,52.60012425064586
lstm_cnn_attention,Global-Numeric-News,0.5188515701837281,0.0294495414824057,0.5125770631918173,0.0250921583329934,0.0459089678454859,39.21539265192436,30.97999481013972,4,frozen_existing_result,LSTM-CNN-Attention,51.88515701837281,51.25770631918173
lstm_cnn_attention,Regime-SHAP-Numeric,0.5404677930680437,0.0173733952763317,0.5384456705945156,0.0218050497750531,0.1011482405593291,30.50834108778233,24.066363797635635,4,frozen_existing_result,LSTM-CNN-Attention,54.04677930680437,53.84456705945156
lstm_cnn_attention,Regime-SHAP-Numeric-News,0.5364184116226383,0.0242427983959077,0.5342766735045051,0.0295746443017957,0.0892977939972288,31.76779907326111,25.34155670824087,4,frozen_existing_result,LSTM-CNN-Attention,53.64184116226382,53.42766735045051
pit_dern,Global-Numeric,0.5200961623919012,0.027774499146938064,0.5105187095360344,0.034558101644431655,0.041428891637670065,14.812597458650114,11.914511319588373,4,post_freeze_exploratory_architecture_extension,PIT-DERN,52.009616239190116,51.05187095360344
pit_dern,Global-Numeric-News,0.48643690361334857,0.022704186790646386,0.47822057992512534,0.029532409259129436,-0.028763876802995518,13.730358091544316,11.16076342847149,4,post_freeze_exploratory_architecture_extension,PIT-DERN,48.643690361334855,47.82205799251253
pit_dern,Regime-SHAP-Numeric,0.5137338673303282,0.05354495726096731,0.503846338398313,0.0547339034156527,0.031746778343898635,13.454682097038546,10.88405193531882,4,post_freeze_exploratory_architecture_extension,PIT-DERN,51.373386733032824,50.3846338398313
pit_dern,Regime-SHAP-Numeric-News,0.5015896459754035,0.018968846890882466,0.49496797549610516,0.02073838556917146,0.0036755188245588023,13.688351871228631,11.013012207505797,4,post_freeze_exploratory_architecture_extension,PIT-DERN,50.15896459754035,49.49679754961052
